INTERPRO	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
-	-	2391	1580	3106	2391	2133	2316	2021	2238	1892	2424	1320	2665	1785	1905	3346	1963	2286	3437	1494	2533	3002	1844	2221	2137	1513	2583	2394	2444	2287	2858	2657	2595	3062	1281	1277	2287	2851	2442	2664	2292	1843	2422
IPR003593	AAA+ ATPase domain	100	64	126	61	84	51	59	62	53	67	29	57	43	79	137	50	95	132	33	67	124	78	65	83	52	129	59	66	54	80	70	72	126	59	58	54	80	66	70	57	71	114
IPR003439	ABC transporter-like, ATP-binding domain	75	43	77	31	55	22	29	27	28	31	20	28	21	64	104	21	70	79	17	32	94	63	30	55	41	98	36	30	31	37	34	34	77	46	46	31	37	30	35	34	35	83
IPR017871	ABC transporter-like, conserved site	63	34	63	24	49	15	20	19	24	24	10	21	15	49	85	18	59	65	10	25	76	50	21	49	34	83	26	22	23	31	30	27	63	35	35	23	31	22	31	25	30	71
IPR027417	P-loop containing nucleoside triphosphate hydrolase	198	132	243	156	166	142	148	171	144	168	99	155	109	167	267	137	181	277	104	185	231	162	163	168	111	228	153	176	149	196	182	171	240	110	110	149	196	176	172	141	151	209
IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	13	4	3	1	7	1	1	0	0	1	0	1	1	6	10	0	12	3	0	1	8	6	0	7	6	11	1	1	1	1	1	1	3	3	3	1	1	1	1	1	2	10
IPR010421	Transcriptional cell cycle regulator TrcR	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR016188	PurM-like, N-terminal domain	3	1	2	3	2	4	3	1	3	3	2	4	2	2	2	2	3	2	1	3	2	2	2	2	1	3	3	3	2	3	2	3	2	0	0	2	3	3	2	3	2	3
IPR036921	PurM-like, N-terminal domain superfamily	3	1	3	4	2	4	4	2	4	4	3	4	2	2	2	3	3	3	2	4	2	2	3	2	1	3	4	4	3	4	3	4	3	0	0	3	4	4	3	4	3	3
IPR010918	PurM-like, C-terminal domain	3	1	3	3	2	4	4	1	3	3	2	4	2	2	2	3	3	3	2	3	2	2	2	2	2	3	4	4	3	4	3	3	3	0	0	3	4	4	3	4	3	3
IPR036676	PurM-like, C-terminal domain superfamily	3	1	3	4	2	4	4	2	4	4	3	4	2	2	2	3	3	3	2	5	2	2	3	2	2	3	4	4	3	4	3	4	3	0	0	3	4	4	3	4	3	3
IPR004733	Phosphoribosylformylglycinamidine cyclo-ligase	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR003509	UPF0102 protein YraN-like	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR011856	tRNA endonuclease-like domain superfamily	1	2	5	1	2	4	5	3	1	2	0	1	1	1	2	4	1	6	1	3	2	1	3	2	0	2	4	4	4	6	3	1	4	1	1	4	6	4	3	2	2	2
IPR011335	Restriction endonuclease type II-like	4	4	6	9	5	2	7	4	5	6	1	6	2	4	5	4	3	10	1	8	4	3	3	5	2	4	6	7	4	10	7	10	6	1	1	4	10	7	6	3	1	4
