Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF00005	ABC transporter	74	42	76	30	54	21	28	26	27	30	20	28	21	61	100	20	69	78	16	31	91	60	29	54	41	98	36	29	29	36	32	33	76	44	44	29	36	29	33	34	34	83
PF08352	Oligopeptide/dipeptide transporter, C-terminal region	13	4	3	1	7	1	1	0	0	1	0	1	1	6	10	0	12	3	0	1	8	6	0	7	6	11	1	1	1	1	1	1	3	3	3	1	1	1	1	1	2	10
PF06242	Transcriptional cell cycle regulator TrcR	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF00586	AIR synthase related protein, N-terminal domain	3	1	2	3	2	4	3	1	3	3	2	4	2	2	2	2	3	2	1	3	2	2	2	2	1	3	3	3	2	3	2	3	2	0	0	2	3	3	2	3	2	3
PF02769	AIR synthase related protein, C-terminal domain	3	1	3	3	2	4	4	1	3	3	2	4	2	2	2	3	3	3	2	3	2	2	2	2	2	3	4	4	3	4	3	3	3	0	0	3	4	4	3	4	3	3
PF02021	Uncharacterised protein family UPF0102	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF01654	Cytochrome bd terminal oxidase subunit I	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	2	1	1	0	1	0	0	1	0	1	2	0	1	1	2	3	1	1	0	0	1	2	1	3	0	1	2
PF00528	Binding-protein-dependent transport system inner membrane component	54	30	39	10	31	3	7	8	4	10	0	9	2	40	78	2	53	39	0	10	67	36	9	31	31	59	2	6	2	8	6	12	39	29	29	2	8	6	7	2	18	52
PF00920	Dehydratase family	4	2	3	2	2	2	2	2	2	2	0	2	0	2	5	2	4	3	0	3	4	2	1	2	2	3	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	3
PF01458	SUF system FeS cluster assembly, SufBD	2	2	2	2	2	2	4	0	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	1	2	2	2	2	0	2	2	2	0	0	2	0	2	2	2	0	2
PF19295	SufBD protein N-terminal region	1	0	1	1	2	1	4	0	1	1	2	1	1	0	1	0	1	1	2	1	1	0	2	2	1	1	2	2	2	0	2	1	1	0	0	2	0	2	2	2	0	1
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	2	1	0	1	0	1	0	1	1	1	2	1	1	0	1	1	1	0	1	1
PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase	2	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	2	1	1	2	1	0	2	1	1	1	1	1	2	1	1	1	1	0	0	2	1	1	1	1	1	1
PF00925	GTP cyclohydrolase II	3	1	2	1	2	1	2	2	2	1	0	1	0	1	2	2	3	2	2	2	2	1	3	2	1	3	2	2	1	2	2	1	2	1	1	1	2	2	2	2	2	3
PF03054	tRNA methyl transferase HUP domain	2	1	1	2	1	1	1	1	1	2	0	1	1	0	2	1	2	1	1	2	2	0	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1
PF00958	GMP synthase C terminal domain	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	2	1	2	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
PF00117	Glutamine amidotransferase class-I	6	8	6	6	9	7	5	7	5	7	3	7	3	3	8	3	6	6	3	7	8	3	7	9	2	6	5	6	5	6	6	7	6	2	2	5	6	6	6	5	3	6
PF01406	tRNA synthetases class I (C) catalytic domain	1	0	1	1	1	1	0	1	1	1	1	1	1	0	2	2	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF01262	Alanine dehydrogenase/PNT, C-terminal domain	1	1	2	1	2	2	1	2	1	1	0	3	0	1	1	0	1	2	1	1	1	1	2	2	1	3	1	2	1	1	2	1	2	1	0	1	1	2	2	1	0	3
PF05222	Alanine dehydrogenase/PNT, N-terminal domain	1	2	2	1	3	2	1	2	1	1	0	3	0	2	2	0	1	2	1	1	2	2	2	3	2	3	2	2	2	1	2	1	2	2	1	2	1	2	2	2	0	3
PF12769	4TM region of pyridine nucleotide transhydrogenase, mitoch	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1
PF01546	Peptidase family M20/M25/M40	8	7	2	4	13	3	3	3	5	1	4	4	2	10	13	1	8	2	3	1	13	10	3	13	12	11	6	3	4	2	7	2	2	2	2	4	2	3	7	6	1	11
