Bin_name	lat	long	coll_date	ID	seqR2	zone	month	season	depth
zr2502_10_R1	18.65135	-91.75797	30/5/2018	P10	zr2502_10_R2	Basin	May	Dry	5
zr2502_43_R1	18.65135	-91.75797	30/5/2018	P43	zr2502_43_R2	Basin	May	Dry	5
zr2502_8_R1	18.65135	-91.75797	30/5/2018	P8	zr2502_8_R2	Basin	May	Dry	5
zr2502_21_R1	18.65135	-91.75797	17/1/2018	P21	zr2502_21_R2	Basin	Jan	Flood	5
zr2502_4_R1	18.65135	-91.75797	17/1/2018	P4	zr2502_4_R2	Basin	Jan	Flood	5
zr2502_5_R1	18.65135	-91.75797	17/1/2018	P5	zr2502_5_R2	Basin	Jan	Flood	5
zr2502_37_R1	18.6515ÿ	-91.75874	30/5/2018	P37	zr2502_37_R2	Fringe	May	Dry	5
zr2502_6_R1	18.6515ÿ	-91.75874	30/5/2018	P6	zr2502_6_R2	Fringe	May	Dry	5
zr2502_7_R1	18.6515ÿ	-91.75874	30/5/2018	P7	zr2502_7_R2	Fringe	May	Dry	5
zr2502_1_R1	18.6515ÿ	-91.75874	17/1/2018	P1	zr2502_1_R2	Fringe	Jan	Flood	5
zr2502_14_R1	18.6515ÿ	-91.75874	17/1/2018	P14	zr2502_14_R2	Fringe	Jan	Flood	5
zr2502_2_R1	18.6515ÿ	-91.75874	17/1/2018	P2	zr2502_2_R2	Fringe	Jan	Flood	5
zr2502_46_R1	18.65099	-91.75797	30/5/2018	P46	zr2502_46_R2	Impaired	May	Dry	5
zr2502_49_R1	18.65099	-91.75797	30/5/2018	P49	zr2502_49_R2	Impaired	May	Dry	5
zr2502_52_R1	18.65099	-91.75797	30/5/2018	P52	zr2502_52_R2	Impaired	May	Dry	5
zr2502_24_R1	18.65099	-91.75797	17/1/2018	P24	zr2502_24_R2	Impaired	Jan	Flood	5
zr2502_27_R1	18.65099	-91.75797	17/1/2018	P27	zr2502_27_R2	Impaired	Jan	Flood	5
zr2502_30_R1	18.65099	-91.75797	17/1/2018	P30	zr2502_30_R2	Impaired	Jan	Flood	5
zr2502_41_R1	18.65135	-91.75797	30/5/2018	P41	zr2502_41_R2	Basin	May	Dry	20
zr2502_44_R1	18.65135	-91.75797	30/5/2018	P44	zr2502_44_R2	Basin	May	Dry	20
zr2502_9_R1	18.65135	-91.75797	30/5/2018	P9	zr2502_9_R2	Basin	May	Dry	20
zr2502_17_R1	18.65135	-91.75797	17/1/2018	P17	zr2502_17_R2	Basin	Jan	Flood	20
zr2502_19_R1	18.65135	-91.75797	17/1/2018	P19	zr2502_19_R2	Basin	Jan	Flood	20
zr2502_22_R1	18.65135	-91.75797	17/1/2018	P22	zr2502_22_R2	Basin	Jan	Flood	20
zr2502_33_R1	18.6515ÿ	-91.75874	30/5/2018	P33	zr2502_33_R2	Fringe	May	Dry	20
zr2502_35_R1	18.6515ÿ	-91.75874	30/5/2018	P35	zr2502_35_R2	Fringe	May	Dry	20
zr2502_38_R1	18.6515ÿ	-91.75874	30/5/2018	P38	zr2502_38_R2	Fringe	May	Dry	20
zr2502_11_R1	18.6515ÿ	-91.75874	17/1/2018	P11	zr2502_11_R2	Fringe	Jan	Flood	20
zr2502_15_R1	18.6515ÿ	-91.75874	17/1/2018	P15	zr2502_15_R2	Fringe	Jan	Flood	20
zr2502_3_R1	18.6515ÿ	-91.75874	17/1/2018	P3	zr2502_3_R2	Fringe	Jan	Flood	20
zr2502_47_R1	18.65099	-91.75797	30/5/2018	P47	zr2502_47_R2	Impaired	May	Dry	20
zr2502_50_R1	18.65099	-91.75797	30/5/2018	P50	zr2502_50_R2	Impaired	May	Dry	20
zr2502_53_R1	18.65099	-91.75797	30/5/2018	P53	zr2502_53_R2	Impaired	May	Dry	20
zr2502_25_R1	18.65099	-91.75797	17/1/2018	P25	zr2502_25_R2	Impaired	Jan	Flood	20
zr2502_28_R1	18.65099	-91.75797	17/1/2018	P28	zr2502_28_R2	Impaired	Jan	Flood	20
zr2502_31_R1	18.65099	-91.75797	17/1/2018	P31	zr2502_31_R2	Impaired	Jan	Flood	20
zr2502_40_R1	18.65135	-91.75797	30/5/2018	P40	zr2502_40_R2	Basin	May	Dry	40
zr2502_42_R1	18.65135	-91.75797	30/5/2018	P42	zr2502_42_R2	Basin	May	Dry	40
zr2502_45_R1	18.65135	-91.75797	30/5/2018	P45	zr2502_45_R2	Basin	May	Dry	40
zr2502_18_R1	18.65135	-91.75797	17/1/2018	P18	zr2502_18_R2	Basin	Jan	Flood	40
zr2502_20_R1	18.65135	-91.75797	17/1/2018	P20	zr2502_20_R2	Basin	Jan	Flood	40
zr2502_23_R1	18.65135	-91.75797	17/1/2018	P23	zr2502_23_R2	Basin	Jan	Flood	40
zr2502_34_R1	18.6515ÿ	-91.75874	30/5/2018	P34	zr2502_34_R2	Fringe	May	Dry	40
zr2502_36_R1	18.6515ÿ	-91.75874	30/5/2018	P36	zr2502_36_R2	Fringe	May	Dry	40
zr2502_39_R1	18.6515ÿ	-91.75874	30/5/2018	P39	zr2502_39_R2	Fringe	May	Dry	40
zr2502_12_R1	18.6515ÿ	-91.75874	17/1/2018	P12	zr2502_12_R2	Fringe	Jan	Flood	40
zr2502_13_R1	18.6515ÿ	-91.75874	17/1/2018	P13	zr2502_13_R2	Fringe	Jan	Flood	40
zr2502_48_R1	18.65099	-91.75797	30/5/2018	P48	zr2502_48_R2	Impaired	May	Dry	40
zr2502_51_R1	18.65099	-91.75797	30/5/2018	P51	zr2502_51_R2	Impaired	May	Dry	40
zr2502_54_R1	18.65099	-91.75797	30/5/2018	P54	zr2502_54_R2	Impaired	May	Dry	40
zr2502_26_R1	18.65099	-91.75797	17/1/2018	P26	zr2502_26_R2	Impaired	Jan	Flood	40
zr2502_29_R1	18.65099	-91.75797	17/1/2018	P29	zr2502_29_R2	Impaired	Jan	Flood	40
zr2502_32_R1	18.65099	-91.75797	17/1/2018	P32	zr2502_32_R2	Impaired	Jan	Flood	40
