pathway	zr2502_1_R1	zr2502_10_R1	zr2502_11_R1	zr2502_12_R1	zr2502_13_R1	zr2502_14_R1	zr2502_15_R1	zr2502_17_R1	zr2502_18_R1	zr2502_19_R1	zr2502_2_R1	zr2502_20_R1	zr2502_21_R1	zr2502_22_R1	zr2502_23_R1	zr2502_24_R1	zr2502_25_R1	zr2502_26_R1	zr2502_27_R1	zr2502_28_R1	zr2502_29_R1	zr2502_3_R1	zr2502_30_R1	zr2502_31_R1	zr2502_32_R1	zr2502_33_R1	zr2502_34_R1	zr2502_35_R1	zr2502_36_R1	zr2502_37_R1	zr2502_38_R1	zr2502_39_R1	zr2502_4_R1	zr2502_40_R1	zr2502_41_R1	zr2502_42_R1	zr2502_43_R1	zr2502_44_R1	zr2502_45_R1	zr2502_46_R1	zr2502_47_R1	zr2502_48_R1	zr2502_49_R1	zr2502_5_R1	zr2502_50_R1	zr2502_51_R1	zr2502_52_R1	zr2502_53_R1	zr2502_54_R1	zr2502_6_R1	zr2502_7_R1	zr2502_8_R1	zr2502_9_R1
1CMET2-PWY	470.2739820687638	1257.9185947516032	598.664953149834	1025.0084985378494	283.9864191316535	1028.9368277428998	1300.8733540982435	707.060973453259	1905.5596991690923	713.2997543495281	1207.683308927852	881.8536453899497	1350.3186964128136	375.4279808549143	543.7702015833579	1317.9614264315878	1005.0051836057661	1752.1846636614896	947.4723734083802	1405.0179792753543	1249.409852565171	576.2713845153038	1445.1872666101767	1196.632830640677	1129.566389127436	996.9374999999999	1229.4790102110155	895.480773736995	926.8257352656115	1428.4848502883578	1464.9586859407252	1122.9286285871226	1859.0594193671511	1280.3905669276705	1572.4387018260795	1457.107669229487	1162.8114639902878	868.2443160746325	1313.2391303186814	1502.7595978491747	1268.5884902293294	1683.6520208724	1378.7381608471044	1444.8228254068038	1306.8225298061463	525.776984866328	1226.6504975501978	2095.9744795276492	1362.7710077884146	1628.3532892093065	1371.53327510778	2060.712100623894	1551.3056975669804
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	141.8400174523424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.4106558391792	0.0	0.0	380.62353168674326	0.0	0.0	0.0	0.0	0.0	0.0	177.83772842695345	293.049676039864	0.0	0.0	0.0	273.61908595665284	0.0
ANAEROFRUCAT-PWY	514.4300498395698	1414.7905456074336	675.4503790474256	1127.8057912033853	367.5448880385983	1207.852201517875	1471.6952917706353	733.6484300852215	1718.970354020885	836.3948069620723	1126.1212387454407	789.7750284385924	1471.0588718184026	475.8713209760618	683.8422937619363	1320.796873142822	901.3243765795886	1278.3979933734279	1179.2499287944022	1498.6605457266207	1165.0269388917936	842.7866086191955	1743.036307733762	1422.2029380665472	1041.804785666607	679.3331487470299	1572.4383089590317	731.6265377732971	977.4437025111407	1422.4364410295138	1441.341069784654	837.2056122651476	1955.2147756121808	1993.491581847873	1722.685750566674	1174.8146473967101	1362.0034517766692	858.5764423474573	1264.9975723259254	1256.4886675598393	1727.8979520727755	840.8721902049554	1923.1983850201784	1378.49714810463	1062.6355264153917	162.78506872531563	1298.2314053161024	2366.992901111227	1080.4589859492062	1642.5717771758568	917.9846396282092	2213.7120650388356	1584.631424500822
ANAGLYCOLYSIS-PWY	652.5614480787552	1530.2018875888496	728.7759542857887	1147.5535960991447	384.97365508080577	1252.6488970986504	1462.4982960350417	849.9574332882357	2111.101295297045	1005.8194154999961	1417.2998633053178	896.115204511994	1588.193624340939	539.8354802174007	708.559657935476	1712.1930586713625	1267.3005249593723	2123.174007927757	1252.0598802278546	1924.9085826379824	1511.345369570757	1331.7010141777746	2152.546726387557	2317.879983794887	1466.5109753920651	601.7708811485431	1666.8446393147112	689.0755965028204	986.8031214219104	1356.88429492772	1547.2514418434348	885.6799125823511	2337.1410955067236	2081.1179637443424	1833.8283232180136	1442.5637271656103	1456.206177336472	954.0778011488496	1399.4614004051643	1945.8637812425845	1831.5268021692211	2216.05090444628	2164.093313095615	1566.4256186151777	1836.9533658124633	707.4301910890479	1658.3147730642174	2858.2709357445556	1678.8036348852193	1901.428764383481	1066.6429748799442	2583.864428523668	1860.6423880911366
ARG+POLYAMINE-SYN	0.0	681.9394270068476	0.0	0.0	0.0	848.2117686812536	435.59494847425356	189.55116796008483	1012.2287826480555	0.0	0.0	355.74712841825766	1025.1715837553882	87.31801472614865	0.0	716.955978676979	419.0552817089705	1053.1180231216586	661.7891544387834	554.1504826000074	423.96482776466064	0.0	759.3621006859395	355.7403170024756	465.7898600006228	0.0	138.25003936782358	0.0	0.0	863.7325103571449	745.7860841746326	482.4552837559299	895.3702937064838	1080.5654099826913	1009.1491424691216	218.49158987032556	862.8334261310783	470.8692593404293	666.0564709525057	1005.1008977995099	1299.188614526138	1146.4130142335096	1165.284245595108	794.642930559232	842.6544423348045	254.96293644957194	938.8132860227604	1688.1749837920472	688.0432477515502	641.7320350723122	0.0	1256.2134063078943	810.9701431159924
ARGORNPROST-PWY	0.0	420.5306904334931	0.0	494.1872836941415	0.0	36.89414381466948	30.27183078537437	388.1562962524383	511.64147079082807	232.6573798737338	0.0	207.0720171877344	265.55382466015607	82.37852873036366	162.9097928460172	221.40796871508016	50.373021100447566	282.77614158763095	225.16564761802735	0.0	203.62944190043183	0.0	149.45298048264573	238.8430507824599	0.0	0.0	437.34290047292444	0.0	300.44565551795364	706.7665653129741	525.5779262701578	691.0877369558015	0.0	231.79002286599516	769.1328708916859	545.703718220676	463.6467763345192	382.70613266709057	577.6017948985686	328.86472782183904	354.4765708887349	34.322728574175805	503.35439920830544	0.0	0.0	113.11797337415517	346.1897239372564	877.6298651538566	654.1815893321684	187.18973751956207	232.8471581803005	579.8700041752794	462.7789400703513
ARGSYN-PWY	653.550185557944	1280.300799325493	598.6671124547413	1265.5981288265232	334.02415686906676	1095.0227675988654	1376.9671700981878	915.1911298024535	2161.4127648912436	972.7009078769174	1071.8741053249325	832.7271749574579	1336.0424345607973	416.5927891240298	606.1032834786981	1481.0827815110458	1080.137166732136	1931.3843932541693	1088.2378145484636	1646.3738191504472	1415.4461931628557	1192.5212633427857	1793.490148873952	1976.4342189669233	1156.1125051141912	1095.5995058921133	1703.2860779204657	1040.5005851468632	1141.9637551308126	1601.98723133073	1642.600322188707	1187.7771085537445	2178.1941549228777	1980.5288167987544	1646.5351250267834	1394.2040309782383	1293.1228693645892	862.0536594102338	1294.8316548146315	1698.598473946384	1672.7492592376914	1756.110727385106	1841.6763903489164	1597.024292715537	1604.4059911404972	631.0236387250061	1373.4554205551815	2805.1845232514547	1720.8317018214168	1762.295016468342	1631.2977736595112	2279.800177166804	1549.7359756494689
ARGSYNBSUB-PWY	688.2143332583864	1492.4421869744529	737.4438080159923	1361.1432650181807	323.54523649912545	1249.901533231969	1516.4096471198886	946.0886262760853	2310.7314149812573	1103.4022980328555	1250.3892131368905	1046.5805723924907	1599.4920028374481	407.9937377278399	610.0602753990826	1694.4135773178618	1169.316754550062	2109.8924732968017	1170.5410104611026	1762.685319905256	1509.3379674127511	1282.4873310362748	1893.9201902377047	2093.5197015583703	1577.0398870111526	1202.0937803930756	1694.8044304671105	1135.0498027722704	1209.9055706160773	1751.0400288868166	1800.2055647376178	1309.8055005910453	2410.246890834872	2094.1319759287685	1723.8831689822898	1338.583694648313	1348.3486240822606	899.6556853315477	1302.600357604828	1815.0971777639056	1744.2093739711538	1951.5407175896523	1821.838643481317	1746.7953315557024	1809.5380004564718	711.1451207765583	1534.0017635676104	3043.7750495251717	1798.8025191379236	1948.1959109694267	1803.95505035739	2522.7228346055003	1738.9392586609915
ARO-PWY	665.5646258503402	1403.8720454092495	627.1103851738808	1036.3703144953843	394.37320934908263	1043.794783091649	1363.3216137986076	894.4354415436844	2246.2956255092677	1036.2037431682716	1288.2123928486662	966.7857220294717	1481.9591920895498	500.17865552633805	653.3703486705939	1660.2355088561085	1091.4349372591644	1950.8950764835674	1130.6775627256463	1861.0282470818001	1537.2081712062256	1238.4765273608284	1933.5344887670246	2049.3583636726644	1446.5598318516202	1030.1400460337131	1725.6444393168856	986.3835556607036	1073.9071375509552	1495.8629359290114	1635.9529922184968	1133.196608151723	2322.0973901758434	1985.632748642772	1655.921717221738	1455.421779841755	1328.762403707719	886.2169961204067	1370.519144858833	1829.5060574932818	1541.830561037093	1746.8917886254167	1937.3895786994135	1532.3939428967747	1634.2076396560483	521.2231255529474	1475.4961259984968	2675.3219522156423	1580.2995441181665	1737.2326545916503	1531.7575652792837	2456.324108088433	1732.4368709216033
ASPASN-PWY	0.0	321.1885019847549	0.0	338.33240924092405	0.0	573.1388317558126	440.33053062751503	154.07561304499825	373.3937717604432	68.56690170395903	185.87234042553192	165.16175386951915	670.1800873038303	49.21378040203371	315.77998984424596	176.2964127543393	211.07255115419503	154.12627032150326	386.4846506085362	118.8363686401321	139.25821606812826	0.0	224.8352236935084	143.43238184550464	0.0	749.6530902876673	444.3089334440621	654.1645386443574	210.93805078660486	1226.4675611392202	1034.351224879099	960.0476684049099	120.42198319472448	511.93672570003105	799.5081638204227	424.8977161060973	439.99616448929686	401.82676621251363	570.1990321250348	119.50576106868446	808.5642623359369	0.0	424.53220297932614	565.6129877792156	210.93851465549326	141.09109449354182	211.4770337200624	1166.4143777869167	388.77006186196894	898.3760612407257	990.6002199636514	378.06753180573173	376.6415354982901
