Module	Module_description	Pathway	Pathway_description	Cycle	Pathway_cycle	Detail_cycle	Genes	Gene_description	Enzyme	KO	rbims_pathway	rbims_sub_pathway	Bin_10	Bin_12	Bin_56	Bin_113	Bin_1	Bin_2
NA	NA	NA	NA	NA	NA	NA	tamB	translocation and assembly module TamB	NA	K09800	NA	NA	1	1	0	0	0	0
NA	NA	map00564	Glycerophospholipid metabolism	NA	NA	NA	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	ec:3.1.4.46	K01126	NA	NA	2	0	0	0	0	0
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map00030	Pentose phosphate pathway	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map00030	Pentose phosphate pathway	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map01100	Metabolic pathways	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map01100	Metabolic pathways	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map01120	Microbial metabolism in diverse environments	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map01120	Microbial metabolism in diverse environments	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map01200	Carbon metabolism	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map01200	Carbon metabolism	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map01230	Biosynthesis of amino acids	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map01230	Biosynthesis of amino acids	NA	NA	NA	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	ec:2.2.1.2	K00616	NA	NA	1	1	0	0	1	1
NA	NA	NA	NA	NA	NA	NA	dusA	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	NA	K05539	NA	NA	1	0	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	mdcF	malonate transporter and related proteins	NA	K13936	NA	NA	1	0	0	0	0	0
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860	Porphyrin and chlorophyll metabolism	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map00970	Aminoacyl-tRNA biosynthesis	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map01100	Metabolic pathways	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map01120	Microbial metabolism in diverse environments	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	map01240	Biosynthesis of cofactors	NA	NA	NA	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	ec:6.1.1.17	K01885	NA	NA	1	0	0	0	0	1
NA	NA	NA	NA	NA	NA	NA	K09807	uncharacterized protein	NA	K09807	NA	NA	1	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map00790	Folate biosynthesis	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.2.3.12	K01737	NA	NA	2	0	0	0	0	0
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map00790	Folate biosynthesis	NA	NA	NA	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	ec:4.1.2.50	K01737	NA	NA	2	0	0	0	0	0
