Scaffold_name	Bin_name	Pfam	domain_name	Abundance
5mSIPHEX1_0_scaffold_3_c1_201	5mSIPHEX1_0	PF00005	ABC transporter	74
5mSIPHEX1_0_scaffold_3_c1_201	5mSIPHEX1_0	PF08352	Oligopeptide/dipeptide transporter, C-terminal region	13
5mSIPHEX1_0_scaffold_12_c2_232	5mSIPHEX1_0	PF06242	Transcriptional cell cycle regulator TrcR	1
5mSIPHEX1_0_scaffold_9_c1_171	5mSIPHEX1_0	PF00586	AIR synthase related protein, N-terminal domain	3
5mSIPHEX1_0_scaffold_9_c1_171	5mSIPHEX1_0	PF02769	AIR synthase related protein, C-terminal domain	3
5mSIPHEX1_0_scaffold_12_c2_272	5mSIPHEX1_0	PF02021	Uncharacterised protein family UPF0102	1
5mSIPHEX1_0_scaffold_4_c1_367	5mSIPHEX1_0	PF01654	Cytochrome bd terminal oxidase subunit I	1
5mSIPHEX1_0_scaffold_4_c1_39	5mSIPHEX1_0	PF00528	Binding-protein-dependent transport system inner membrane component	54
5mSIPHEX1_0_scaffold_62_c1_152	5mSIPHEX1_0	PF00920	Dehydratase family	4
5mSIPHEX1_0_scaffold_9_c1_116	5mSIPHEX1_0	PF01458	SUF system FeS cluster assembly, SufBD	2
5mSIPHEX1_0_scaffold_9_c1_116	5mSIPHEX1_0	PF19295	SufBD protein N-terminal region	1
5mSIPHEX1_0_scaffold_3_c1_109	5mSIPHEX1_0	PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1
5mSIPHEX1_0_scaffold_4_c1_71	5mSIPHEX1_0	PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase	2
5mSIPHEX1_0_scaffold_4_c1_71	5mSIPHEX1_0	PF00925	GTP cyclohydrolase II	3
5mSIPHEX1_0_scaffold_9_c1_263	5mSIPHEX1_0	PF03054	tRNA methyl transferase HUP domain	2
5mSIPHEX1_0_scaffold_9_c1_263	5mSIPHEX1_0	PF00958	GMP synthase C terminal domain	1
5mSIPHEX1_0_scaffold_9_c1_263	5mSIPHEX1_0	PF00117	Glutamine amidotransferase class-I	6
5mSIPHEX1_0_scaffold_4_c1_621	5mSIPHEX1_0	PF01406	tRNA synthetases class I (C) catalytic domain	1
5mSIPHEX1_0_scaffold_4_c1_656	5mSIPHEX1_0	PF01262	Alanine dehydrogenase/PNT, C-terminal domain	1
5mSIPHEX1_0_scaffold_4_c1_656	5mSIPHEX1_0	PF05222	Alanine dehydrogenase/PNT, N-terminal domain	1
5mSIPHEX1_0_scaffold_4_c1_656	5mSIPHEX1_0	PF12769	4TM region of pyridine nucleotide transhydrogenase, mitoch	1
5mSIPHEX1_0_scaffold_62_c1_128	5mSIPHEX1_0	PF01546	Peptidase family M20/M25/M40	8
5mSIPHEX1_0_scaffold_62_c1_128	5mSIPHEX1_0	PF07687	Peptidase dimerisation domain	7
5mSIPHEX1_0_scaffold_62_c1_36	5mSIPHEX1_0	PF00171	Aldehyde dehydrogenase family	14
5mSIPHEX1_0_scaffold_12_c2_314	5mSIPHEX1_0	PF00814	tRNA N6-adenosine threonylcarbamoyltransferase	2
5mSIPHEX1_0_scaffold_3_c1_428	5mSIPHEX1_0	PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	1
5mSIPHEX1_0_scaffold_23_c1_169	5mSIPHEX1_0	PF01725	Ham1 family	1
5mSIPHEX1_0_scaffold_12_c2_127	5mSIPHEX1_0	PF01546	Peptidase family M20/M25/M40	8
5mSIPHEX1_0_scaffold_12_c2_127	5mSIPHEX1_0	PF07687	Peptidase dimerisation domain	7
5mSIPHEX1_0_scaffold_12_c2_308	5mSIPHEX1_0	PF01925	Sulfite exporter TauE/SafE	4
5mSIPHEX1_0_scaffold_3_c1_521	5mSIPHEX1_0	PF07969	Amidohydrolase family	1
5mSIPHEX1_0_scaffold_9_c1_93	5mSIPHEX1_0	PF00005	ABC transporter	74
5mSIPHEX1_0_scaffold_9_c1_93	5mSIPHEX1_0	PF00664	ABC transporter transmembrane region	5
5mSIPHEX1_0_scaffold_3_c1_406	5mSIPHEX1_0	PF06850	PHB de-polymerase C-terminus	1
5mSIPHEX1_0_scaffold_62_c1_135	5mSIPHEX1_0	PF13975	gag-polyprotein putative aspartyl protease	1
5mSIPHEX1_0_scaffold_9_c1_355	5mSIPHEX1_0	PF01925	Sulfite exporter TauE/SafE	4
5mSIPHEX1_0_scaffold_9_c1_85	5mSIPHEX1_0	PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)	2
5mSIPHEX1_0_scaffold_3_c1_337	5mSIPHEX1_0	PF02913	FAD linked oxidases, C-terminal domain	6
5mSIPHEX1_0_scaffold_3_c1_337	5mSIPHEX1_0	PF01565	FAD binding domain	9
5mSIPHEX1_0_scaffold_41_c1_233	5mSIPHEX1_0	PF00425	chorismate binding enzyme	1
5mSIPHEX1_0_scaffold_41_c1_233	5mSIPHEX1_0	PF04715	Anthranilate synthase component I, N terminal region	1
5mSIPHEX1_0_scaffold_3_c1_209	5mSIPHEX1_0	PF04055	Radical SAM superfamily	10
5mSIPHEX1_0_scaffold_62_c1_5	5mSIPHEX1_0	PF13458	Periplasmic binding protein	4
5mSIPHEX1_0_scaffold_12_c2_194	5mSIPHEX1_0	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	3
5mSIPHEX1_0_scaffold_12_c2_194	5mSIPHEX1_0	PF00378	Enoyl-CoA hydratase/isomerase	5
5mSIPHEX1_0_scaffold_12_c2_194	5mSIPHEX1_0	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	3
5mSIPHEX1_0_scaffold_62_c1_34	5mSIPHEX1_0	PF02600	Disulfide bond formation protein DsbB	1
5mSIPHEX1_0_scaffold_3_c1_588	5mSIPHEX1_0	PF07103	Protein of unknown function (DUF1365)	1
5mSIPHEX1_0_scaffold_23_c1_240	5mSIPHEX1_0	PF05013	N-formylglutamate amidohydrolase	1
5mSIPHEX1_0_scaffold_9_c1_279	5mSIPHEX1_0	PF02310	B12 binding domain	3
5mSIPHEX1_0_scaffold_9_c1_279	5mSIPHEX1_0	PF02607	B12 binding domain	1
5mSIPHEX1_0_scaffold_4_c1_476	5mSIPHEX1_0	PF01970	Tripartite tricarboxylate transporter TctA family	12
5mSIPHEX1_0_scaffold_4_c1_476	5mSIPHEX1_0	PF07331	Tripartite tricarboxylate transporter TctB family	12
5mSIPHEX1_0_scaffold_4_c1_389	5mSIPHEX1_0	PF16976	Flp pilus assembly protein RcpC/CpaB	1
5mSIPHEX1_0_scaffold_4_c1_581	5mSIPHEX1_0	PF01261	Xylose isomerase-like TIM barrel	3
5mSIPHEX1_0_scaffold_12_c2_65	5mSIPHEX1_0	PF00817	impB/mucB/samB family	2
5mSIPHEX1_0_scaffold_12_c2_65	5mSIPHEX1_0	PF11799	impB/mucB/samB family C-terminal domain	2
5mSIPHEX1_0_scaffold_23_c1_175	5mSIPHEX1_0	PF13932	tRNA modifying enzyme MnmG/GidA C-terminal helical bundle	1
5mSIPHEX1_0_scaffold_23_c1_175	5mSIPHEX1_0	PF01134	Glucose inhibited division protein A	2
5mSIPHEX1_0_scaffold_23_c1_175	5mSIPHEX1_0	PF21680	tRNA modifying enzyme MnmG/GidA C-terminal helical domain	1
5mSIPHEX1_0_scaffold_4_c1_585	5mSIPHEX1_0	PF13561	Enoyl-(Acyl carrier protein) reductase	19
5mSIPHEX1_0_scaffold_4_c1_640	5mSIPHEX1_0	PF13522	Glutamine amidotransferase domain	1
5mSIPHEX1_0_scaffold_4_c1_640	5mSIPHEX1_0	PF01380	SIS domain	2
5mSIPHEX1_0_scaffold_4088_c1_4	5mSIPHEX1_0	PF05378	Hydantoinase/oxoprolinase N-terminal region	2
5mSIPHEX1_0_scaffold_4088_c1_4	5mSIPHEX1_0	PF01968	Hydantoinase/oxoprolinase	2
5mSIPHEX1_0_scaffold_9_c1_393	5mSIPHEX1_0	PF00072	Response regulator receiver domain	30
5mSIPHEX1_0_scaffold_9_c1_393	5mSIPHEX1_0	PF00486	Transcriptional regulatory protein, C terminal	6
5mSIPHEX1_0_scaffold_23_c1_99	5mSIPHEX1_0	PF01351	Ribonuclease HII	1
5mSIPHEX1_0_scaffold_9_c1_137	5mSIPHEX1_0	PF00378	Enoyl-CoA hydratase/isomerase	5
5mSIPHEX1_0_scaffold_9_c1_350	5mSIPHEX1_0	PF00171	Aldehyde dehydrogenase family	14
5mSIPHEX1_0_scaffold_190_c1_31	5mSIPHEX1_0	PF05099	Tellurite resistance protein TerB	4
5mSIPHEX1_0_scaffold_3_c1_277	5mSIPHEX1_0	PF04290	Tripartite ATP-independent periplasmic transporters, DctQ component	14
5mSIPHEX1_0_scaffold_4_c1_537	5mSIPHEX1_0	PF06199	Phage tail tube protein	2
5mSIPHEX1_0_scaffold_12_c2_309	5mSIPHEX1_0	PF02653	Branched-chain amino acid transport system / permease component	17
5mSIPHEX1_0_scaffold_4_c1_340	5mSIPHEX1_0	PF01979	Amidohydrolase family	10
5mSIPHEX1_0_scaffold_4_c1_340	5mSIPHEX1_0	PF00449	Urease alpha-subunit, N-terminal domain	1
5mSIPHEX1_0_scaffold_23_c1_186	5mSIPHEX1_0	PF04280	Tim44-like domain	1
5mSIPHEX1_0_scaffold_4_c1_344	5mSIPHEX1_0	PF02308	MgtC family	1
5mSIPHEX1_0_scaffold_62_c1_74	5mSIPHEX1_0	PF05698	Bacterial trigger factor protein (TF) C-terminus	1
5mSIPHEX1_0_scaffold_62_c1_74	5mSIPHEX1_0	PF05697	Bacterial trigger factor protein (TF)	1
5mSIPHEX1_0_scaffold_62_c1_74	5mSIPHEX1_0	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	1
5mSIPHEX1_0_scaffold_12_c2_9	5mSIPHEX1_0	PF00004	ATPase family associated with various cellular activities (AAA)	7
5mSIPHEX1_0_scaffold_190_c1_43	5mSIPHEX1_0	PF00459	Inositol monophosphatase family	5
5mSIPHEX1_0_scaffold_3_c1_186	5mSIPHEX1_0	PF06347	Bacterial SH3 domain	1
5mSIPHEX1_0_scaffold_3_c1_566	5mSIPHEX1_0	PF13704	Glycosyl transferase family 2	4
5mSIPHEX1_0_scaffold_12_c2_214	5mSIPHEX1_0	PF02954	Bacterial regulatory protein, Fis family	4
5mSIPHEX1_0_scaffold_12_c2_214	5mSIPHEX1_0	PF00072	Response regulator receiver domain	30
5mSIPHEX1_0_scaffold_12_c2_214	5mSIPHEX1_0	PF00158	Sigma-54 interaction domain	4
5mSIPHEX1_0_scaffold_4_c1_320	5mSIPHEX1_0	PF00313	'Cold-shock' DNA-binding domain	3
5mSIPHEX1_0_scaffold_23_c1_117	5mSIPHEX1_0	PF05239	PRC-barrel domain	6
5mSIPHEX1_0_scaffold_12_c2_357	5mSIPHEX1_0	PF03668	P-loop ATPase protein family	1
5mSIPHEX1_0_scaffold_256_c1_33	5mSIPHEX1_0	PF00149	Calcineurin-like phosphoesterase	7
5mSIPHEX1_0_scaffold_4_c1_539	5mSIPHEX1_0	PF09550	Phage tail assembly chaperone protein, TAC	1
5mSIPHEX1_0_scaffold_23_c1_269	5mSIPHEX1_0	PF00108	Thiolase, N-terminal domain	4
5mSIPHEX1_0_scaffold_23_c1_269	5mSIPHEX1_0	PF02803	Thiolase, C-terminal domain	4
5mSIPHEX1_0_scaffold_9_c1_136	5mSIPHEX1_0	PF03918	Cytochrome C biogenesis protein	1
5mSIPHEX1_0_scaffold_41_c1_42	5mSIPHEX1_0	PF00034	Cytochrome c	10
5mSIPHEX1_0_scaffold_41_c1_42	5mSIPHEX1_0	PF00116	Cytochrome C oxidase subunit II, periplasmic domain	2
5mSIPHEX1_0_scaffold_12_c2_91	5mSIPHEX1_0	PF01619	Proline dehydrogenase	1
5mSIPHEX1_0_scaffold_12_c2_91	5mSIPHEX1_0	PF18327	Proline utilization A proline dehydrogenase N-terminal domain	1
5mSIPHEX1_0_scaffold_12_c2_91	5mSIPHEX1_0	PF00171	Aldehyde dehydrogenase family	14
5mSIPHEX1_0_scaffold_12_c2_91	5mSIPHEX1_0	PF14850	DNA-binding domain of Proline dehydrogenase	1
5mSIPHEX1_0_scaffold_3_c1_472	5mSIPHEX1_0	PF01266	FAD dependent oxidoreductase	8
5mSIPHEX1_0_scaffold_4_c1_188	5mSIPHEX1_0	PF04851	Type III restriction enzyme, res subunit	2
5mSIPHEX1_0_scaffold_4_c1_188	5mSIPHEX1_0	PF14890	Intein splicing domain	1
5mSIPHEX1_0_scaffold_4_c1_188	5mSIPHEX1_0	PF00271	Helicase conserved C-terminal domain	11
5mSIPHEX1_0_scaffold_4_c1_482	5mSIPHEX1_0	PF03737	Aldolase/RraA	4
5mSIPHEX1_0_scaffold_3_c1_454	5mSIPHEX1_0	PF04198	Putative sugar-binding domain	1
5mSIPHEX1_0_scaffold_9_c1_180	5mSIPHEX1_0	PF02625	XdhC and CoxI family	1
5mSIPHEX1_0_scaffold_9_c1_180	5mSIPHEX1_0	PF13478	XdhC Rossmann domain	2
5mSIPHEX1_0_scaffold_9_c1_56	5mSIPHEX1_0	PF00884	Sulfatase	7
5mSIPHEX1_0_scaffold_3_c1_352	5mSIPHEX1_0	PF04442	Cytochrome c oxidase assembly protein CtaG/Cox11	1
5mSIPHEX1_0_scaffold_4_c1_465	5mSIPHEX1_0	PF00294	pfkB family carbohydrate kinase	6
5mSIPHEX1_0_scaffold_23_c1_20	5mSIPHEX1_0	PF13773	Domain of unknown function (DUF4170)	1
5mSIPHEX1_0_scaffold_23_c1_141	5mSIPHEX1_0	PF02592	Putative vitamin uptake transporter	1
5mSIPHEX1_0_scaffold_23_c1_26	5mSIPHEX1_0	PF01145	SPFH domain / Band 7 family	3
5mSIPHEX1_0_scaffold_23_c1_291	5mSIPHEX1_0	PF07896	Protein of unknown function (DUF1674)	1
5mSIPHEX1_0_scaffold_3_c1_383	5mSIPHEX1_0	PF13380	CoA binding domain	1
5mSIPHEX1_0_scaffold_3_c1_71	5mSIPHEX1_0	PF00271	Helicase conserved C-terminal domain	11
5mSIPHEX1_0_scaffold_3_c1_71	5mSIPHEX1_0	PF00270	DEAD/DEAH box helicase	9
5mSIPHEX1_0_scaffold_3_c1_71	5mSIPHEX1_0	PF00570	HRDC domain	2
5mSIPHEX1_0_scaffold_3_c1_71	5mSIPHEX1_0	PF16124	RecQ zinc-binding	1
5mSIPHEX1_0_scaffold_3_c1_71	5mSIPHEX1_0	PF09382	RQC domain	1
5mSIPHEX1_0_scaffold_9_c1_256	5mSIPHEX1_0	PF01266	FAD dependent oxidoreductase	8
5mSIPHEX1_0_scaffold_9_c1_211	5mSIPHEX1_0	PF06041	Bacterial protein of unknown function (DUF924)	1
5mSIPHEX1_0_scaffold_62_c1_42	5mSIPHEX1_0	PF14833	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	2
5mSIPHEX1_0_scaffold_62_c1_42	5mSIPHEX1_0	PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	2
5mSIPHEX1_0_scaffold_2721_c1_2	5mSIPHEX1_0	PF00005	ABC transporter	74
5mSIPHEX1_0_scaffold_3_c1_138	5mSIPHEX1_0	PF16901	C-terminal domain of alpha-glycerophosphate oxidase	1
5mSIPHEX1_0_scaffold_3_c1_138	5mSIPHEX1_0	PF01266	FAD dependent oxidoreductase	8
5mSIPHEX1_0_scaffold_23_c1_283	5mSIPHEX1_0	PF03725	3' exoribonuclease family, domain 2	2
