Bin_name	MEROPS_family	domain_name	Abundance
5mSIPHEX1_0	CTP synthetase |  | C26.964	MER0450018	1
5mSIPHEX1_0	CTP synthetase | Ruegeria sp. TW15 | C26.964	MER0450113	1
5mSIPHEX1_0	CTP synthetase | Silicibacter pomeroyi | C26.964	MER0174339	1
5mSIPHEX1_0	family S14 unassigned peptidases |  | S14.UPW	MER1318229	2
5mSIPHEX1_0	family S14 unassigned peptidases |  | S14.UPW	MER1320661	2
5mSIPHEX1_0	family S14 unassigned peptidases | Actibacterium mucosum | S14.UPW	MER1012580	1
5mSIPHEX1_0	family S14 unassigned peptidases | Loktanella cinnabarina | S14.UPW	MER1018110	1
5mSIPHEX1_0	family S14 unassigned peptidases | Loktanella hongkongensis | S14.UPW	MER1013407	1
5mSIPHEX1_0	family S14 unassigned peptidases | Loktanella sp. S4079 | S14.UPW	MER1018319	1
5mSIPHEX1_0	family S14 unassigned peptidases | Roseivivax halodurans | S14.UPW	MER1016423	1
5mSIPHEX1_0	family S14 unassigned peptidases | Shimia abyssi | S14.UPW	MER1320489	1
5mSIPHEX1_0	family S14 unassigned peptidases | Sulfitobacter mediterraneus | S14.UPW	MER1018502	1
5mSIPHEX1_0	family S14 unassigned peptidases | Sulfitobacter sp. CB2047 | S14.UPW	MER1016858	1
5mSIPHEX1_0	family S14 unassigned peptidases | Wenxinia marina | S14.UPW	MER1016813	1
5mSIPHEX1_0	family S15 non-peptidase homologues | Actibacterium atlanticum | S15.UNW	MER1023823	1
5mSIPHEX1_0	family S15 non-peptidase homologues | Actibacterium mucosum | S15.UNW	MER1025022	1
5mSIPHEX1_0	family S15 non-peptidase homologues | Maritimibacter alkaliphilus | S15.UNW	MER1023043	1
5mSIPHEX1_0	family S16 unassigned peptidases | Huaishuia sp. DY2-5 | S16.UPW	MER1327762	1
5mSIPHEX1_0	family S16 unassigned peptidases | Roseovarius sp. 22II1-1F6A | S16.UPW	MER1327751	1
5mSIPHEX1_0	family S33 unassigned peptidases | Huaishuia sp. DY2-5 | S33.UPW	MER1339400	1
5mSIPHEX1_0	family S33 unassigned peptidases | Roseovarius sp. 22II1-1F6A | S33.UPW	MER1339384	1
5mSIPHEX1_0	family S9 unassigned peptidases | Maritimibacter alkaliphilus | S09.UPW	MER0477989	1
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0060698	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0060700	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0060701	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0060815	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0061964	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0074566	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0080464	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0142975	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0143241	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0143663	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0144418	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0159546	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0180057	14
5mSIPHEX1_0	peptidase Clp | type 1 | S14.001	MER0299389	14
5mSIPHEX1_1	HslV component of HslUV peptidase |  | T01.006	MER0029893	1
5mSIPHEX1_1	YMXG peptidase | Planktomarina temperata | M16.019	MER0925903	1
5mSIPHEX1_1	alanyl aminopeptidase | bacterial-type | M01.005	MER0812688	1
5mSIPHEX1_1	cephalosporin C acylase precursor | Planktomarina temperata | S45.003	MER1064169	1
5mSIPHEX1_1	family A8 unassigned peptidases | Planktomarina temperata | A08.UPW	MER0443131	1
