HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH24.hmm	137	700mSIPHEX2_13-scaffold_105_c1_123	242	1.1e-47	4	137	100	229	0.9708029197080292
CE1.hmm	227	700mSIPHEX2_13-scaffold_105_c1_51	311	3.6e-21	10	143	62	244	0.5859030837004405
CE9.hmm	373	700mSIPHEX2_13-scaffold_107_c1_13	388	6.6e-102	6	366	13	378	0.9651474530831099
GT2.hmm	170	700mSIPHEX2_13-scaffold_111_c1_52	230	4.9e-16	1	113	6	111	0.6588235294117647
GT51.hmm	177	700mSIPHEX2_13-scaffold_141_c1_52	716	1.7e-46	16	176	97	257	0.903954802259887
GH3.hmm	216	700mSIPHEX2_13-scaffold_150_c1_36	336	1.6e-35	6	215	55	276	0.9675925925925926
GT4.hmm	160	700mSIPHEX2_13-scaffold_154_c1_1	1296	2.6e-21	7	155	455	601	0.925
GT2.hmm	170	700mSIPHEX2_13-scaffold_154_c1_1	1296	6.1e-21	1	109	640	748	0.6352941176470588
GT4.hmm	160	700mSIPHEX2_13-scaffold_154_c1_1	1296	2e-21	12	150	1114	1253	0.8625
GT2.hmm	170	700mSIPHEX2_13-scaffold_154_c1_12	345	3.1e-19	2	97	27	124	0.5588235294117647
GT4.hmm	160	700mSIPHEX2_13-scaffold_154_c1_16	415	1.5e-19	8	156	213	374	0.925
GH24.hmm	137	700mSIPHEX2_13-scaffold_1553_c1_2	242	6.2e-47	5	137	101	229	0.9635036496350365
GH24.hmm	137	700mSIPHEX2_13-scaffold_160_c1_66	242	6.2e-47	4	136	100	228	0.9635036496350365
GH25.hmm	177	700mSIPHEX2_13-scaffold_20_c1_210	272	2.7e-52	1	177	70	248	0.9943502824858758
AA3_2.hmm	568	700mSIPHEX2_13-scaffold_20_c1_266	530	2.1e-156	2	567	2	525	0.9947183098591549
GT41.hmm	705	700mSIPHEX2_13-scaffold_20_c1_330	742	1.9e-130	117	525	181	708	0.5787234042553191
GH103.hmm	295	700mSIPHEX2_13-scaffold_20_c1_388	390	1.1e-91	1	294	25	317	0.9932203389830508
GT51.hmm	177	700mSIPHEX2_13-scaffold_24_c1_144	247	6.3e-51	10	171	71	227	0.9096045197740112
GT14.hmm	250	700mSIPHEX2_13-scaffold_24_c1_163	568	2.1e-46	4	240	7	248	0.944
GT2.hmm	96	700mSIPHEX2_13-scaffold_24_c1_164	337	2.1e-26	1	95	49	145	0.9791666666666666
GT2.hmm	96	700mSIPHEX2_13-scaffold_24_c1_165	347	1.9e-25	1	88	60	147	0.90625
GH102.hmm	157	700mSIPHEX2_13-scaffold_24_c1_242	359	2e-44	1	157	117	251	0.9936305732484076
AA3_2.hmm	568	700mSIPHEX2_13-scaffold_24_c1_274	541	1.2e-172	2	566	2	532	0.9929577464788732
GT30.hmm	177	700mSIPHEX2_13-scaffold_24_c1_343	395	9.5e-20	9	173	9	174	0.9265536723163842
