Scaffold_name	Bin_name	KO	Abundance
5mSIPHEX1_0_scaffold_1104_c1_2	5mSIPHEX1_0	K02056	1
5mSIPHEX1_0_scaffold_1104_c1_6	5mSIPHEX1_0	K00852	2
5mSIPHEX1_0_scaffold_1104_c1_7	5mSIPHEX1_0	K01619	1
5mSIPHEX1_0_scaffold_1104_c1_8	5mSIPHEX1_0	K00128	1
5mSIPHEX1_0_scaffold_12_c2_100	5mSIPHEX1_0	K07231	1
5mSIPHEX1_0_scaffold_12_c2_102	5mSIPHEX1_0	K18911	1
5mSIPHEX1_0_scaffold_12_c2_103	5mSIPHEX1_0	K25285	1
5mSIPHEX1_0_scaffold_12_c2_103	5mSIPHEX1_0	K02013	3
5mSIPHEX1_0_scaffold_12_c2_104	5mSIPHEX1_0	K25283	1
5mSIPHEX1_0_scaffold_12_c2_105	5mSIPHEX1_0	K25284	1
5mSIPHEX1_0_scaffold_12_c2_106	5mSIPHEX1_0	K25282	1
5mSIPHEX1_0_scaffold_12_c2_11	5mSIPHEX1_0	K07493	1
5mSIPHEX1_0_scaffold_12_c2_111	5mSIPHEX1_0	K02624	2
5mSIPHEX1_0_scaffold_12_c2_112	5mSIPHEX1_0	K01031	1
5mSIPHEX1_0_scaffold_12_c2_113	5mSIPHEX1_0	K01032	1
5mSIPHEX1_0_scaffold_12_c2_114	5mSIPHEX1_0	K07823	1
5mSIPHEX1_0_scaffold_12_c2_114	5mSIPHEX1_0	K00632	1
5mSIPHEX1_0_scaffold_12_c2_114	5mSIPHEX1_0	K00626	4
5mSIPHEX1_0_scaffold_12_c2_115	5mSIPHEX1_0	K00616	1
5mSIPHEX1_0_scaffold_12_c2_116	5mSIPHEX1_0	K11068	1
5mSIPHEX1_0_scaffold_12_c2_117	5mSIPHEX1_0	K16515	1
5mSIPHEX1_0_scaffold_12_c2_118	5mSIPHEX1_0	K10218	3
5mSIPHEX1_0_scaffold_12_c2_119	5mSIPHEX1_0	K16514	1
5mSIPHEX1_0_scaffold_12_c2_120	5mSIPHEX1_0	K10221	2
5mSIPHEX1_0_scaffold_12_c2_122	5mSIPHEX1_0	K07080	6
5mSIPHEX1_0_scaffold_12_c2_123	5mSIPHEX1_0	K16516	1
5mSIPHEX1_0_scaffold_12_c2_125	5mSIPHEX1_0	K01486	2
5mSIPHEX1_0_scaffold_12_c2_129	5mSIPHEX1_0	K12960	1
5mSIPHEX1_0_scaffold_12_c2_13	5mSIPHEX1_0	K01153	1
5mSIPHEX1_0_scaffold_12_c2_131	5mSIPHEX1_0	K02053	3
5mSIPHEX1_0_scaffold_12_c2_132	5mSIPHEX1_0	K02054	3
5mSIPHEX1_0_scaffold_12_c2_133	5mSIPHEX1_0	K02055	2
5mSIPHEX1_0_scaffold_12_c2_137	5mSIPHEX1_0	K09930	1
5mSIPHEX1_0_scaffold_12_c2_139	5mSIPHEX1_0	K15977	1
5mSIPHEX1_0_scaffold_12_c2_14	5mSIPHEX1_0	K01154	1
5mSIPHEX1_0_scaffold_12_c2_142	5mSIPHEX1_0	K07240	1
5mSIPHEX1_0_scaffold_12_c2_143	5mSIPHEX1_0	K09806	1
5mSIPHEX1_0_scaffold_12_c2_144	5mSIPHEX1_0	K13292	1
5mSIPHEX1_0_scaffold_12_c2_145	5mSIPHEX1_0	K18164	1
5mSIPHEX1_0_scaffold_12_c2_146	5mSIPHEX1_0	K05810	1
5mSIPHEX1_0_scaffold_12_c2_149	5mSIPHEX1_0	K03719	7
5mSIPHEX1_0_scaffold_12_c2_15	5mSIPHEX1_0	K03427	1
5mSIPHEX1_0_scaffold_12_c2_150	5mSIPHEX1_0	K00384	1
5mSIPHEX1_0_scaffold_12_c2_151	5mSIPHEX1_0	K00958	1
5mSIPHEX1_0_scaffold_12_c2_154	5mSIPHEX1_0	K09794	2
5mSIPHEX1_0_scaffold_12_c2_155	5mSIPHEX1_0	K01588	1
5mSIPHEX1_0_scaffold_12_c2_156	5mSIPHEX1_0	K01589	1
5mSIPHEX1_0_scaffold_12_c2_157	5mSIPHEX1_0	K00611	1
5mSIPHEX1_0_scaffold_12_c2_158	5mSIPHEX1_0	K00821	1
5mSIPHEX1_0_scaffold_12_c2_159	5mSIPHEX1_0	K15270	5
5mSIPHEX1_0_scaffold_12_c2_162	5mSIPHEX1_0	K02116	1
5mSIPHEX1_0_scaffold_12_c2_163	5mSIPHEX1_0	K02108	1
5mSIPHEX1_0_scaffold_12_c2_164	5mSIPHEX1_0	K02110	1
5mSIPHEX1_0_scaffold_12_c2_165	5mSIPHEX1_0	K02109	2
5mSIPHEX1_0_scaffold_12_c2_166	5mSIPHEX1_0	K02109	2
5mSIPHEX1_0_scaffold_12_c2_167	5mSIPHEX1_0	K01749	1
5mSIPHEX1_0_scaffold_12_c2_168	5mSIPHEX1_0	K01599	1
5mSIPHEX1_0_scaffold_12_c2_17	5mSIPHEX1_0	K07459	1
5mSIPHEX1_0_scaffold_12_c2_172	5mSIPHEX1_0	K02909	1
5mSIPHEX1_0_scaffold_12_c2_173	5mSIPHEX1_0	K02884	1
5mSIPHEX1_0_scaffold_12_c2_174	5mSIPHEX1_0	K00554	1
5mSIPHEX1_0_scaffold_12_c2_177	5mSIPHEX1_0	K02860	1
5mSIPHEX1_0_scaffold_12_c2_178	5mSIPHEX1_0	K02959	1
5mSIPHEX1_0_scaffold_12_c2_179	5mSIPHEX1_0	K04092	1
5mSIPHEX1_0_scaffold_12_c2_180	5mSIPHEX1_0	K03106	1
5mSIPHEX1_0_scaffold_12_c2_181	5mSIPHEX1_0	K03579	1
5mSIPHEX1_0_scaffold_12_c2_182	5mSIPHEX1_0	K11751	1
5mSIPHEX1_0_scaffold_12_c2_182	5mSIPHEX1_0	K01081	1
5mSIPHEX1_0_scaffold_12_c2_184	5mSIPHEX1_0	K00254	1
5mSIPHEX1_0_scaffold_12_c2_185	5mSIPHEX1_0	K03327	2
5mSIPHEX1_0_scaffold_12_c2_190	5mSIPHEX1_0	K20035	2
5mSIPHEX1_0_scaffold_12_c2_192	5mSIPHEX1_0	K00799	5
5mSIPHEX1_0_scaffold_12_c2_193	5mSIPHEX1_0	K00626	4
5mSIPHEX1_0_scaffold_12_c2_194	5mSIPHEX1_0	K01782	1
5mSIPHEX1_0_scaffold_12_c2_198	5mSIPHEX1_0	K00761	1
5mSIPHEX1_0_scaffold_12_c2_20	5mSIPHEX1_0	K02498	1
5mSIPHEX1_0_scaffold_12_c2_200	5mSIPHEX1_0	K01839	1
5mSIPHEX1_0_scaffold_12_c2_202	5mSIPHEX1_0	K01489	2
5mSIPHEX1_0_scaffold_12_c2_203	5mSIPHEX1_0	K00027	2
5mSIPHEX1_0_scaffold_12_c2_204	5mSIPHEX1_0	K00600	1
5mSIPHEX1_0_scaffold_12_c2_205	5mSIPHEX1_0	K00858	1
5mSIPHEX1_0_scaffold_12_c2_207	5mSIPHEX1_0	K25307	1
5mSIPHEX1_0_scaffold_12_c2_208	5mSIPHEX1_0	K12410	1
5mSIPHEX1_0_scaffold_12_c2_209	5mSIPHEX1_0	K02902	1
5mSIPHEX1_0_scaffold_12_c2_210	5mSIPHEX1_0	K07588	1
5mSIPHEX1_0_scaffold_12_c2_211	5mSIPHEX1_0	K04771	1
5mSIPHEX1_0_scaffold_12_c2_212	5mSIPHEX1_0	K16568	1
5mSIPHEX1_0_scaffold_12_c2_213	5mSIPHEX1_0	K03498	2
5mSIPHEX1_0_scaffold_12_c2_215	5mSIPHEX1_0	K01908	1
5mSIPHEX1_0_scaffold_12_c2_216	5mSIPHEX1_0	K01870	1
5mSIPHEX1_0_scaffold_12_c2_217	5mSIPHEX1_0	K00286	2
5mSIPHEX1_0_scaffold_12_c2_218	5mSIPHEX1_0	K06878	1
5mSIPHEX1_0_scaffold_12_c2_22	5mSIPHEX1_0	K01719	1
5mSIPHEX1_0_scaffold_12_c2_220	5mSIPHEX1_0	K01004	1
5mSIPHEX1_0_scaffold_12_c2_221	5mSIPHEX1_0	K20975	1
5mSIPHEX1_0_scaffold_12_c2_224	5mSIPHEX1_0	K09386	2
5mSIPHEX1_0_scaffold_12_c2_225	5mSIPHEX1_0	K03518	1
5mSIPHEX1_0_scaffold_12_c2_226	5mSIPHEX1_0	K03520	2
5mSIPHEX1_0_scaffold_12_c2_227	5mSIPHEX1_0	K03519	2
5mSIPHEX1_0_scaffold_12_c2_228	5mSIPHEX1_0	K01175	1
5mSIPHEX1_0_scaffold_12_c2_23	5mSIPHEX1_0	K25706	1
5mSIPHEX1_0_scaffold_12_c2_231	5mSIPHEX1_0	K01783	1
5mSIPHEX1_0_scaffold_12_c2_232	5mSIPHEX1_0	K09987	1
5mSIPHEX1_0_scaffold_12_c2_233	5mSIPHEX1_0	K01166	1
5mSIPHEX1_0_scaffold_12_c2_234	5mSIPHEX1_0	K00344	3
5mSIPHEX1_0_scaffold_12_c2_235	5mSIPHEX1_0	K18587	1
5mSIPHEX1_0_scaffold_12_c2_236	5mSIPHEX1_0	K02970	1
5mSIPHEX1_0_scaffold_12_c2_238	5mSIPHEX1_0	K03719	7
5mSIPHEX1_0_scaffold_12_c2_239	5mSIPHEX1_0	K03282	1
5mSIPHEX1_0_scaffold_12_c2_24	5mSIPHEX1_0	K00057	2
5mSIPHEX1_0_scaffold_12_c2_240	5mSIPHEX1_0	K11209	2
5mSIPHEX1_0_scaffold_12_c2_240	5mSIPHEX1_0	K00799	5
5mSIPHEX1_0_scaffold_12_c2_244	5mSIPHEX1_0	K03924	1
5mSIPHEX1_0_scaffold_12_c2_245	5mSIPHEX1_0	K09986	1
5mSIPHEX1_0_scaffold_12_c2_248	5mSIPHEX1_0	K02050	6
5mSIPHEX1_0_scaffold_12_c2_25	5mSIPHEX1_0	K09780	2
5mSIPHEX1_0_scaffold_12_c2_251	5mSIPHEX1_0	K01119	1
5mSIPHEX1_0_scaffold_12_c2_252	5mSIPHEX1_0	K03426	1
5mSIPHEX1_0_scaffold_12_c2_254	5mSIPHEX1_0	K04518	1
5mSIPHEX1_0_scaffold_12_c2_255	5mSIPHEX1_0	K08738	3
5mSIPHEX1_0_scaffold_12_c2_256	5mSIPHEX1_0	K13893	1
5mSIPHEX1_0_scaffold_12_c2_257	5mSIPHEX1_0	K13894	1
5mSIPHEX1_0_scaffold_12_c2_257	5mSIPHEX1_0	K02033	9
5mSIPHEX1_0_scaffold_12_c2_258	5mSIPHEX1_0	K13895	1
5mSIPHEX1_0_scaffold_12_c2_258	5mSIPHEX1_0	K02034	10
5mSIPHEX1_0_scaffold_12_c2_259	5mSIPHEX1_0	K13896	1
5mSIPHEX1_0_scaffold_12_c2_259	5mSIPHEX1_0	K02031	10
5mSIPHEX1_0_scaffold_12_c2_260	5mSIPHEX1_0	K03635	1
5mSIPHEX1_0_scaffold_12_c2_261	5mSIPHEX1_0	K03636	1
5mSIPHEX1_0_scaffold_12_c2_262	5mSIPHEX1_0	K00995	1
5mSIPHEX1_0_scaffold_12_c2_263	5mSIPHEX1_0	K03564	1
5mSIPHEX1_0_scaffold_12_c2_265	5mSIPHEX1_0	K07568	1
5mSIPHEX1_0_scaffold_12_c2_268	5mSIPHEX1_0	K03980	1
5mSIPHEX1_0_scaffold_12_c2_269	5mSIPHEX1_0	K00990	1
5mSIPHEX1_0_scaffold_12_c2_271	5mSIPHEX1_0	K07056	1
5mSIPHEX1_0_scaffold_12_c2_272	5mSIPHEX1_0	K07460	1
5mSIPHEX1_0_scaffold_12_c2_273	5mSIPHEX1_0	K01920	1
5mSIPHEX1_0_scaffold_12_c2_274	5mSIPHEX1_0	K07391	1
5mSIPHEX1_0_scaffold_12_c2_276	5mSIPHEX1_0	K03089	2
5mSIPHEX1_0_scaffold_12_c2_277	5mSIPHEX1_0	K13038	1
5mSIPHEX1_0_scaffold_12_c2_278	5mSIPHEX1_0	K01520	1
5mSIPHEX1_0_scaffold_12_c2_279	5mSIPHEX1_0	K21029	1
5mSIPHEX1_0_scaffold_12_c2_280	5mSIPHEX1_0	K01284	1
5mSIPHEX1_0_scaffold_12_c2_282	5mSIPHEX1_0	K09981	1
5mSIPHEX1_0_scaffold_12_c2_283	5mSIPHEX1_0	K03702	1
5mSIPHEX1_0_scaffold_12_c2_284	5mSIPHEX1_0	K03937	1
5mSIPHEX1_0_scaffold_12_c2_286	5mSIPHEX1_0	K05782	2
5mSIPHEX1_0_scaffold_12_c2_288	5mSIPHEX1_0	K16877	1
5mSIPHEX1_0_scaffold_12_c2_288	5mSIPHEX1_0	K09386	2
5mSIPHEX1_0_scaffold_12_c2_289	5mSIPHEX1_0	K16878	1
5mSIPHEX1_0_scaffold_12_c2_289	5mSIPHEX1_0	K03519	2
5mSIPHEX1_0_scaffold_12_c2_29	5mSIPHEX1_0	K03310	2
5mSIPHEX1_0_scaffold_12_c2_291	5mSIPHEX1_0	K16876	1
5mSIPHEX1_0_scaffold_12_c2_292	5mSIPHEX1_0	K16880	1
5mSIPHEX1_0_scaffold_12_c2_293	5mSIPHEX1_0	K05782	2
5mSIPHEX1_0_scaffold_12_c2_294	5mSIPHEX1_0	K04046	1
5mSIPHEX1_0_scaffold_12_c2_295	5mSIPHEX1_0	K04565	1
5mSIPHEX1_0_scaffold_12_c2_297	5mSIPHEX1_0	K01857	2
5mSIPHEX1_0_scaffold_12_c2_298	5mSIPHEX1_0	K01055	1
5mSIPHEX1_0_scaffold_12_c2_299	5mSIPHEX1_0	K03746	1
5mSIPHEX1_0_scaffold_12_c2_30	5mSIPHEX1_0	K01251	1
5mSIPHEX1_0_scaffold_12_c2_300	5mSIPHEX1_0	K14447	1
5mSIPHEX1_0_scaffold_12_c2_302	5mSIPHEX1_0	K14446	1
5mSIPHEX1_0_scaffold_12_c2_304	5mSIPHEX1_0	K25873	1
5mSIPHEX1_0_scaffold_12_c2_305	5mSIPHEX1_0	K20249	1
5mSIPHEX1_0_scaffold_12_c2_308	5mSIPHEX1_0	K07090	4
5mSIPHEX1_0_scaffold_12_c2_309	5mSIPHEX1_0	K23536	3
5mSIPHEX1_0_scaffold_12_c2_31	5mSIPHEX1_0	K06952	1
5mSIPHEX1_0_scaffold_12_c2_310	5mSIPHEX1_0	K23535	3
5mSIPHEX1_0_scaffold_12_c2_311	5mSIPHEX1_0	K23537	3
5mSIPHEX1_0_scaffold_12_c2_312	5mSIPHEX1_0	K07335	3
5mSIPHEX1_0_scaffold_12_c2_313	5mSIPHEX1_0	K03789	1
5mSIPHEX1_0_scaffold_12_c2_314	5mSIPHEX1_0	K14742	1
5mSIPHEX1_0_scaffold_12_c2_315	5mSIPHEX1_0	K22074	1
5mSIPHEX1_0_scaffold_12_c2_316	5mSIPHEX1_0	K01990	1
5mSIPHEX1_0_scaffold_12_c2_318	5mSIPHEX1_0	K00606	1
5mSIPHEX1_0_scaffold_12_c2_319	5mSIPHEX1_0	K02035	8
5mSIPHEX1_0_scaffold_12_c2_32	5mSIPHEX1_0	K19577	1
5mSIPHEX1_0_scaffold_12_c2_321	5mSIPHEX1_0	K03527	1
5mSIPHEX1_0_scaffold_12_c2_322	5mSIPHEX1_0	K02519	1
5mSIPHEX1_0_scaffold_12_c2_323	5mSIPHEX1_0	K07742	1
5mSIPHEX1_0_scaffold_12_c2_324	5mSIPHEX1_0	K02600	1
5mSIPHEX1_0_scaffold_12_c2_325	5mSIPHEX1_0	K09748	1
5mSIPHEX1_0_scaffold_12_c2_327	5mSIPHEX1_0	K01259	1
5mSIPHEX1_0_scaffold_12_c2_328	5mSIPHEX1_0	K00568	1
5mSIPHEX1_0_scaffold_12_c2_329	5mSIPHEX1_0	K01586	1
5mSIPHEX1_0_scaffold_12_c2_333	5mSIPHEX1_0	K09811	1
