Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
5mSIPHEX1_37-scaffold_111_c1_24	-	GH103(63-277)	GH103_e38	GH103	Y(1-36)	3
5mSIPHEX1_37-scaffold_111_c1_28	-	GH103(31-337)	GH103_e5	GH103	Y(1-22)	3
5mSIPHEX1_37-scaffold_114_c2_10	-	AA7(52-235)	-	-	N	1
5mSIPHEX1_37-scaffold_114_c2_25	-	GT14(24-266)	GT14_e60	GT14	N	3
5mSIPHEX1_37-scaffold_114_c2_36	2.4.1.129:1	GT51(149-337)	GT51_e144	GT51	N	3
5mSIPHEX1_37-scaffold_114_c2_72	-	GH23(491-620)	GH23_e847	GH23	Y(1-21)	3
5mSIPHEX1_37-scaffold_114_c2_89	-	AA2(86-189)	AA2_e1	AA0	N	3
5mSIPHEX1_37-scaffold_120_c1_102	-	CE1(21-272)	-	-	N	1
5mSIPHEX1_37-scaffold_1353_c1_7	-	GH24(100-229)	GH24_e197	GH24	N	3
5mSIPHEX1_37-scaffold_140_c5_24	-	GT2(13-133)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_140_c5_25	-	GT26(57-229)	GT26_e144	GT26	N	3
5mSIPHEX1_37-scaffold_14_c3_106	-	GT51(71-227)	GT51_e37	GT51	N	3
5mSIPHEX1_37-scaffold_14_c3_125	-	GT14(7-248)	GT14_e83	GT14	N	3
5mSIPHEX1_37-scaffold_14_c3_126	-	GT2(49-145)	GT2	GT0	N	3
5mSIPHEX1_37-scaffold_14_c3_127	-	GT2(60-147)	GT2	GT0	N	3
5mSIPHEX1_37-scaffold_14_c3_14	-	GT11(1-280)	GT11_e1	GT11	N	3
5mSIPHEX1_37-scaffold_14_c3_8	-	GT25(4-177)	GT25_e67	GT25	N	3
5mSIPHEX1_37-scaffold_14_c4_37	-	GH102(117-251)	GH102_e29	GH102	Y(1-27)	3
5mSIPHEX1_37-scaffold_14_c5_3	-	AA3_2(2-532)	AA3_e57	AA3_2	N	3
5mSIPHEX1_37-scaffold_14_c5_72	-	GT30(9-174)	GT30_e45	GT30	N	3
5mSIPHEX1_37-scaffold_153_c1_13	-|-|-	GT4(455-601)+GT2(640-748)+GT4(1114-1253)	GT4_e2767+GT2+GT4_e2767	GT2+GT4	N	3
5mSIPHEX1_37-scaffold_153_c1_22	-	GT2(27-124)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_153_c1_26	-	GT4(213-374)	GT4_e711	GT4	N	3
5mSIPHEX1_37-scaffold_153_c1_4	-	GT2(4-176)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_159_c1_10	-	GT4(224-365)	GT4_e3096	GT4	N	3
5mSIPHEX1_37-scaffold_159_c1_9	-	GT2(24-129)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_160_c1_33	-	GH3(55-276)	GH3_e228	GH3	N	3
5mSIPHEX1_37-scaffold_186_c1_17	-	GT2(306-533)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_186_c2_18	-	GH23(155-267)	GH23_e757	-	Y(1-28)	2
5mSIPHEX1_37-scaffold_195_c3_2	-	GT51(97-257)	GT51_e71	GT51	N	3
5mSIPHEX1_37-scaffold_2021_c1_3	-	GH24(85-217)	GH24_e116	-	N	2
5mSIPHEX1_37-scaffold_206_c1_1	-	GT41(25-547)	GT41_e4	GT41	N	3
5mSIPHEX1_37-scaffold_231_c1_41	-	AA3_2(13-538)	AA3_e57	AA3_2	N	3
5mSIPHEX1_37-scaffold_240_c2_36	-	GH103(34-235)	GH103_e15	GH103	Y(1-25)	3
5mSIPHEX1_37-scaffold_249_c1_2	-	GH23(100-199)	GH23_e673	-	Y(1-30)	2
5mSIPHEX1_37-scaffold_249_c1_23	-	GT19(5-358)	GT19_e34	GT19	N	3
5mSIPHEX1_37-scaffold_263_c1_28	-	GH13_18(94-434)	GH13_e237	GH13_18	N	3
5mSIPHEX1_37-scaffold_263_c1_29	-	GT81(111-318)	GT81_e1	GT81	N	3
5mSIPHEX1_37-scaffold_283_c1_12	-	GT4(214-375)	GT4_e711	GT4	N	3
5mSIPHEX1_37-scaffold_283_c1_17	-	GT2(29-122)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_283_c1_26	-|-|-	GT4(459-609)+GT2(644-766)+GT4(1116-1238)	GT4_e2767+GT2+GT4_e2767	GT2+GT4	N	3
5mSIPHEX1_37-scaffold_283_c1_33	-	GT2(4-99)	GT2	GT2	N	3
5mSIPHEX1_37-scaffold_283_c1_4	-	GT4(215-376)	GT4_e711	GT4	N	3
5mSIPHEX1_37-scaffold_295_c2_27	-	GH103(25-317)	GH103_e30	GH103	Y(1-20)	3
5mSIPHEX1_37-scaffold_323_c1_6	-	GT51(60-235)	GT51_e77	GT51	N	3
5mSIPHEX1_37-scaffold_333_c1_34	-	GT2(26-244)	GT2	-	N	2
