Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_15-scaffold_105_c1_33	QWC20507.1|AA3_2	47.7	532	266	4	4	535	6	525	2.28e-165	485
5mSIPHEX1_15-scaffold_105_c1_6	CAB3230510.1|AA3_2	48.9	546	264	7	20	555	15	555	5.81e-172	504
5mSIPHEX1_15-scaffold_106_c1_25	QYJ01052.1|GT51	72.3	682	185	2	1	678	1	682	0.0	972
5mSIPHEX1_15-scaffold_121_c1_42	CCA14548.1|GT2	51.6	312	149	2	3	313	442	752	3.93e-112	347
5mSIPHEX1_15-scaffold_121_c1_45	CAD7221988.1|GH103	38.2	613	347	10	9	610	20	611	5.22e-113	372
5mSIPHEX1_15-scaffold_121_c1_64	CAD7280782.1|GT2	45.4	804	373	9	180	945	390	1165	4.76e-219	693
5mSIPHEX1_15-scaffold_121_c1_65	QKX60855.1|GT22	61.4	295	105	4	2	295	574	860	2.41e-106	333
5mSIPHEX1_15-scaffold_143_c1_26	UQC84268.1|CBM50	42.6	430	245	2	4	431	3	432	1.57e-123	385
5mSIPHEX1_15-scaffold_143_c1_44	QYJ02123.1|GT2	77.2	325	73	1	1	324	1	325	1.72e-159	453
5mSIPHEX1_15-scaffold_143_c1_76	QYU68416.1|GT2	72.8	294	80	0	2	295	429	722	1.64e-138	415
5mSIPHEX1_15-scaffold_143_c1_77	QSR21540.1|CE15	53.1	418	187	4	13	423	19	434	9.57e-143	419
5mSIPHEX1_15-scaffold_161_c1_41	QWA11134.1|GT2	52.1	338	158	3	1	334	288	625	4.47e-110	339
5mSIPHEX1_15-scaffold_161_c1_43	QAY63367.1|GT2	57.8	282	118	1	1	282	316	596	8.01e-108	330
5mSIPHEX1_15-scaffold_161_c1_67	CUS04494.2|GH39	58.6	905	326	10	9	867	358	1259	0.0	989
5mSIPHEX1_15-scaffold_170_c1_54	CAG7883609.1|GT1	55.7	884	375	4	10	889	171	1041	0.0	920
5mSIPHEX1_15-scaffold_172_c2_8	ACT60137.1|GH3	69.4	782	230	4	15	790	12	790	0.0	1073
5mSIPHEX1_15-scaffold_179_c1_41	QYI99602.1|GT51	64.2	623	223	0	31	653	32	654	3.41e-291	814
5mSIPHEX1_15-scaffold_179_c1_69	AJF39933.1|GH16_3	55.1	263	112	4	46	306	5	263	2.07e-107	318
5mSIPHEX1_15-scaffold_20_c1_14	AGL64345.2|GT2	44.1	587	315	5	280	857	273	855	1.05e-152	474
5mSIPHEX1_15-scaffold_20_c1_141	CAN65674.1|GH28	42.8	563	286	7	56	615	94	623	4.43e-145	458
5mSIPHEX1_15-scaffold_20_c1_176	CAD7245033.1|GT58	74.5	479	114	2	112	582	1046	1524	1.14e-230	699
5mSIPHEX1_15-scaffold_20_c1_180	AGL63871.2|GT2	41.9	497	243	8	298	790	528	982	2.72e-107	357
5mSIPHEX1_15-scaffold_20_c1_220	ALR09732.2|GH92	36.0	738	431	15	5	716	7	729	2.51e-112	361
5mSIPHEX1_15-scaffold_20_c1_248	QYJ01689.1|GT2	74.9	243	61	0	1	243	1	243	1.33e-134	383
5mSIPHEX1_15-scaffold_20_c1_266	CAE6204650.1|GH28	51.0	602	286	5	7	601	744	1343	1.60e-197	595
5mSIPHEX1_15-scaffold_20_c1_275	CAD7252417.1|GH13	43.2	579	310	9	128	692	339	912	4.68e-126	415
5mSIPHEX1_15-scaffold_20_c1_83	AWP05996.1|GT25	38.6	577	332	9	31	592	75	644	1.90e-124	404
5mSIPHEX1_15-scaffold_20_c1_88	UQC84268.1|CBM50	42.0	443	251	3	8	448	1	439	3.19e-115	364
5mSIPHEX1_15-scaffold_20_c1_94	ABI76066.1|GT2	77.5	244	55	0	4	247	5	248	5.90e-141	400
5mSIPHEX1_15-scaffold_20_c1_98	QCE13289.1|CE8	46.0	409	192	3	21	405	409	812	7.43e-106	347
5mSIPHEX1_15-scaffold_207_c1_3	AKJ28574.1|GH5	40.6	545	277	14	60	587	514	1028	1.20e-107	352
5mSIPHEX1_15-scaffold_207_c1_5	AKJ28574.1|GH5	41.5	545	270	16	74	600	515	1028	3.56e-106	348
5mSIPHEX1_15-scaffold_208_c1_37	QYJ01899.1|GH102	61.7	368	139	2	23	389	51	417	5.85e-162	467
5mSIPHEX1_15-scaffold_208_c1_63	AXT61762.1|GH63	46.0	417	209	2	27	427	68	484	2.37e-144	425
5mSIPHEX1_15-scaffold_225_c1_33	CAG7911095.1|GH5_11	37.0	1019	477	26	12	1005	589	1467	1.30e-199	620
5mSIPHEX1_15-scaffold_225_c1_43	QKX55086.1|GH55	36.2	614	325	15	6	575	794	1384	3.77e-113	373
5mSIPHEX1_15-scaffold_225_c1_7	CAD2222301.1|AA3	50.7	537	246	8	15	535	13	546	2.66e-170	498
5mSIPHEX1_15-scaffold_246_c1_27	QSR23298.1|GT2	57.2	325	139	0	5	329	20	344	2.24e-128	376
5mSIPHEX1_15-scaffold_348_c1_12	AGL63702.2|GT4	44.7	532	270	7	5	526	6	523	7.96e-146	434
5mSIPHEX1_15-scaffold_380_c1_9	ACT60136.1|GH3	60.0	835	320	4	8	841	7	828	0.0	1025
5mSIPHEX1_15-scaffold_50_c1_100	AWZ17133.1|GH13_30	35.7	1125	650	22	3	1067	403	1514	8.48e-193	608
5mSIPHEX1_15-scaffold_50_c1_133	CAE6201330.1|GH1	52.2	642	295	4	12	641	569	1210	2.48e-242	709
5mSIPHEX1_15-scaffold_50_c1_137	UNE49194.1|GH10	61.2	338	131	0	41	378	25	362	1.46e-155	447
5mSIPHEX1_15-scaffold_50_c1_174	QCE13289.1|CE8	46.5	409	190	3	14	398	409	812	3.59e-104	341
5mSIPHEX1_15-scaffold_50_c1_46	QYJ00885.1|GH23	56.4	636	276	1	43	677	1	636	1.13e-252	716
5mSIPHEX1_15-scaffold_50_c1_68	CCO12112.2|GH13_31	60.6	424	161	4	1	418	1	424	9.58e-173	495
5mSIPHEX1_15-scaffold_50_c1_86	QSR22515.1|GT19	57.3	384	164	0	1	384	1	384	6.13e-147	426
5mSIPHEX1_15-scaffold_50_c2_24	UAB77099.1|GH23	53.9	371	159	4	2	372	356	714	1.89e-121	372
5mSIPHEX1_15-scaffold_50_c2_30	AMJ20543.1|GH13_11	60.5	403	159	0	27	429	7	409	4.16e-169	485
5mSIPHEX1_15-scaffold_50_c2_6	AXE64336.1|GT51	66.7	816	266	4	12	822	29	843	0.0	1070
5mSIPHEX1_15-scaffold_564_c1_4	QYU66445.1|GT4	60.1	338	130	5	7	341	14	349	2.33e-128	397
5mSIPHEX1_15-scaffold_58_c1_110	AVI59029.1|GT2	42.2	436	244	6	1	433	1	431	4.13e-112	341
5mSIPHEX1_15-scaffold_58_c1_112	ABM98857.2|GT4	66.4	304	102	0	6	309	8	311	4.08e-154	440
5mSIPHEX1_15-scaffold_58_c1_121	QSR21271.1|GT4	79.3	362	73	1	1	360	33	394	4.74e-216	602
5mSIPHEX1_15-scaffold_58_c1_157	QYI99784.1|GT2	55.2	306	137	0	19	324	9	314	3.53e-118	348
5mSIPHEX1_15-scaffold_58_c1_159	QYI99782.1|GT2	55.8	308	136	0	1	308	1	308	1.10e-118	350
5mSIPHEX1_15-scaffold_58_c1_17	QYJ01206.1|GT28	71.6	363	103	0	1	363	1	363	5.17e-180	508
5mSIPHEX1_15-scaffold_58_c1_203	QSR21235.1|GT4	60.1	381	151	1	15	395	1	380	1.98e-149	432
5mSIPHEX1_15-scaffold_58_c1_7	QYJ01197.1|CE11	70.8	295	86	0	1	295	1	295	1.64e-147	421
5mSIPHEX1_15-scaffold_58_c1_84	AGL63717.2|GT4	44.5	678	303	9	162	836	107	714	2.16e-175	530
5mSIPHEX1_15-scaffold_64_c1_22	ADN17640.1|GT2	52.0	321	150	2	5	321	11	331	3.21e-112	346
5mSIPHEX1_15-scaffold_64_c1_25	QYJ02064.1|GT4	67.4	377	117	1	1	377	1	371	1.24e-183	518
5mSIPHEX1_15-scaffold_64_c1_33	CDM22846.1|GT51	48.7	417	208	4	4	417	895	1308	8.60e-109	353
5mSIPHEX1_15-scaffold_64_c2_105	ABI78434.1|GT83	51.8	682	251	3	1	682	1	604	5.84e-249	706
5mSIPHEX1_15-scaffold_64_c2_120	AZL15609.1|GH0	60.9	307	120	0	3	309	4	310	4.66e-132	383
5mSIPHEX1_15-scaffold_64_c2_31	QYI99595.1|GT2	48.9	403	202	2	40	438	74	476	3.51e-122	369
5mSIPHEX1_15-scaffold_64_c2_80	QYJ01990.1|GH103	63.1	388	139	2	54	441	91	474	2.79e-178	511
5mSIPHEX1_15-scaffold_71_c1_139	QYJ00475.1|GH3	56.4	344	149	1	1	344	1	343	1.37e-126	371
5mSIPHEX1_15-scaffold_71_c1_170	QTD57835.1|GH42	56.8	646	275	2	1	646	1	642	1.11e-276	776
5mSIPHEX1_15-scaffold_737_c1_4	QLL41444.1|GT2|GT4	67.7	807	261	0	1	807	24	830	0.0	1145
5mSIPHEX1_15-scaffold_78_c1_140	QCW79542.1|GH101	52.5	457	213	1	57	509	612	1068	2.47e-161	490
5mSIPHEX1_15-scaffold_78_c1_159	CCO12868.2|GH1	55.2	672	261	8	14	647	3	672	5.27e-250	729
